   ,STATENM,STATECD,COUNTYNM,COUNTYCD,SPCD,SCIENTIFIC_NAME,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0001 1.0-1.9','`0002 2.0-2.9','`0003 3.0-3.9','`0004 4.0-4.9'
21,Alabama,1,Autauga,1,693,Nyssa sylvatica,35,Tupelo and blackgum,Hardwood,3,0,12301,5664923.745,7441558.042,,
22,Alabama,1,Autauga,1,711,Oxydendrum arboreum,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,908244.6721,4102389.507,16050273.85,15054656.71
23,Alabama,1,Autauga,1,762,Prunus serotina,41,Other eastern soft hardwoods,Hardwood,3,0,12301,5568318.742,3507050.742,6580471.008,
24,Alabama,1,Autauga,1,766,Prunus americana,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,,3484606.918,,
25,Alabama,1,Autauga,1,802,Quercus alba,25,Select white oaks,Hardwood,3,0,12301,,4247073.327,,
26,Alabama,1,Autauga,1,806,Quercus coccinea,28,Other red oaks,Hardwood,3,0,12301,,4574970.574,,22996114.37
27,Alabama,1,Autauga,1,812,Quercus falcata,28,Other red oaks,Hardwood,3,0,12301,12444333.13,5541536.486,31514366.76,27555367.89
28,Alabama,1,Autauga,1,813,Quercus pagoda,26,Select red oaks,Hardwood,3,0,12301,,8459941.519,,39421393.03
29,Alabama,1,Autauga,1,820,Quercus laurifolia,28,Other red oaks,Hardwood,3,0,12301,28144366.78,48992118.81,27403102.52,
30,Alabama,1,Autauga,1,824,Quercus marilandica,28,Other red oaks,Hardwood,3,0,12301,855050.7906,,9687882.955,
31,Alabama,1,Autauga,1,827,Quercus nigra,28,Other red oaks,Hardwood,3,0,12301,25821821.68,20531343.97,88933752.83,68869564.62
32,Alabama,1,Autauga,1,831,Quercus phellos,28,Other red oaks,Hardwood,3,0,12301,1451183.867,2001273.676,,
33,Alabama,1,Autauga,1,835,Quercus stellata,27,Other white oaks,Hardwood,3,0,12301,,12033812.1,61981721.42,23393059.77
34,Alabama,1,Autauga,1,838,Quercus virginiana,27,Other white oaks,Hardwood,3,0,12301,638507.8427,,,
35,Alabama,1,Autauga,1,931,Sassafras albidum,41,Other eastern soft hardwoods,Hardwood,3,0,12301,,8705810.58,,
36,Alabama,1,Autauga,1,971,Ulmus alata,41,Other eastern soft hardwoods,Hardwood,3,0,12301,571874.9139,,,
37,Alabama,1,Autauga,1,972,Ulmus americana,41,Other eastern soft hardwoods,Hardwood,3,0,12301,1578312.673,4974448.643,,
38,Alabama,1,Autauga,1,994,Triadica sebifera,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,1323417.407,4624755.743,,29557428.13
39,Alabama,1,Baldwin,3,43,Chamaecyparis thyoides,9,Other eastern softwoods,Softwood,1,0,12301,5653085.596,15735088.97,5989150.725,12681880.11
40,Alabama,1,Baldwin,3,67,Juniperus virginiana var. silicicola,9,Other eastern softwoods,Softwood,1,0,12301,4630864.758,,,
41,Alabama,1,Baldwin,3,68,Juniperus virginiana,9,Other eastern softwoods,Softwood,1,0,12301,,,6083853.756,
42,Alabama,1,Baldwin,3,111,Pinus elliottii,1,Longleaf and slash pines,Softwood,1,0,12301,13959793.46,80914005.87,47842916.12,175123171
43,Alabama,1,Baldwin,3,121,Pinus palustris,1,Longleaf and slash pines,Softwood,1,0,12301,2360994.08,11629821.15,104949929.4,29995287.5
44,Alabama,1,Baldwin,3,131,Pinus taeda,2,Loblolly and shortleaf pines,Softwood,1,0,12301,40496068.71,86518580.69,152995527.1,295252479
45,Alabama,1,Baldwin,3,221,Taxodium distichum,8,Cypress,Softwood,1,0,12301,,16392698.6,7733118.225,26158107.64
46,Alabama,1,Baldwin,3,316,Acer rubrum,32,Soft maple,Hardwood,1,0,12301,49892219.55,77661151.65,46273509.98,17419964.79
47,Alabama,1,Baldwin,3,391,Carpinus caroliniana,43,Eastern noncommercial hardwoods,Hardwood,1,0,12301,,,,22046190.11
48,Alabama,1,Baldwin,3,401,Carya aquatica,29,Hickory,Hardwood,1,0,12301,1497365.904,11305770.27,,14789692.1
49,Alabama,1,Baldwin,3,404,Carya illinoinensis,29,Hickory,Hardwood,1,0,12301,,,16218941.67,26620021.68
50,Alabama,1,Baldwin,3,461,Celtis laevigata,41,Other eastern soft hardwoods,Hardwood,1,0,12301,,1256450.674,8352789.173,
51,Alabama,1,Baldwin,3,491,Cornus florida,42,Other eastern hard hardwoods,Hardwood,1,0,12301,,3641149.229,9432901.801,
52,Alabama,1,Baldwin,3,521,Diospyros virginiana,42,Other eastern hard hardwoods,Hardwood,1,0,12301,832087.1705,,,
53,Alabama,1,Baldwin,3,544,Fraxinus pennsylvanica,36,Ash,Hardwood,1,0,12301,8828035.865,12537329.13,42708039.96,47911083.63
54,Alabama,1,Baldwin,3,591,Ilex opaca,42,Other eastern hard hardwoods,Hardwood,1,0,12301,9155912.252,26233134.06,21144447.86,
55,Alabama,1,Baldwin,3,611,Liquidambar styraciflua,34,Sweetgum,Hardwood,1,0,12301,17432421.11,34614324.33,53486173,
56,Alabama,1,Baldwin,3,652,Magnolia grandiflora,41,Other eastern soft hardwoods,Hardwood,1,0,12301,,7391340.454,,
57,Alabama,1,Baldwin,3,653,Magnolia virginiana,43,Eastern noncommercial hardwoods,Hardwood,1,0,12301,42310842.67,150647387.6,133798396.8,52492692.46
58,Alabama,1,Baldwin,3,691,Nyssa aquatica,35,Tupelo and blackgum,Hardwood,1,0,12301,4830756.129,15384207.54,8130986.124,43872308.94
59,Alabama,1,Baldwin,3,693,Nyssa sylvatica,35,Tupelo and blackgum,Hardwood,1,0,12301,15323536.21,12654060.35,59558760.99,29146272.73
60,Alabama,1,Baldwin,3,694,Nyssa biflora,35,Tupelo and blackgum,Hardwood,1,0,12301,4729738.57,32207728.92,88494317.79,116295789.1
61,Alabama,1,Baldwin,3,701,Ostrya virginiana,43,Eastern noncommercial hardwoods,Hardwood,1,0,12301,,4480670.051,11700407.24,16467918.85
62,Alabama,1,Baldwin,3,721,Persea borbonia,41,Other eastern soft hardwoods,Hardwood,1,0,12301,,14846453.37,,22461750.17
63,Alabama,1,Baldwin,3,722,Planera aquatica,43,Eastern noncommercial hardwoods,Hardwood,1,0,12301,,,14232164.24,16814891.11
64,Alabama,1,Baldwin,3,731,Platanus occidentalis,41,Other eastern soft hardwoods,Hardwood,1,0,12301,,,8308922.208,
65,Alabama,1,Baldwin,3,742,Populus deltoides,37,Cottonwood and aspen (East),Hardwood,1,0,12301,516474.6242,,21506752.81,
66,Alabama,1,Baldwin,3,762,Prunus serotina,41,Other eastern soft hardwoods,Hardwood,1,0,12301,4944149.47,,6713883.357,
67,Alabama,1,Baldwin,3,812,Quercus falcata,28,Other red oaks,Hardwood,1,0,12301,3761032.741,26759316.79,,
68,Alabama,1,Baldwin,3,813,Quercus pagoda,26,Select red oaks,Hardwood,1,0,12301,1317383.282,,,
69,Alabama,1,Baldwin,3,819,Quercus laevis,43,Eastern noncommercial hardwoods,Hardwood,1,0,12301,1917921.633,14073865.68,,
70,Alabama,1,Baldwin,3,820,Quercus laurifolia,28,Other red oaks,Hardwood,1,0,12301,10071060.54,29063045.56,51251975.79,18568019.42
71,Alabama,1,Baldwin,3,822,Quercus lyrata,27,Other white oaks,Hardwood,1,0,12301,622834.7629,7948771.853,,
72,Alabama,1,Baldwin,3,824,Quercus marilandica,28,Other red oaks,Hardwood,1,0,12301,869184.5164,,10838234.89,
73,Alabama,1,Baldwin,3,827,Quercus nigra,28,Other red oaks,Hardwood,1,0,12301,59790879.28,116204958.5,252508726.3,170264457.8
74,Alabama,1,Baldwin,3,835,Quercus stellata,27,Other white oaks,Hardwood,1,0,12301,1762058.849,4877775.422,12423455.75,
75,Alabama,1,Baldwin,3,838,Quercus virginiana,27,Other white oaks,Hardwood,1,0,12301,6571645.287,16525293.51,17746785.9,50410339.67
76,Alabama,1,Baldwin,3,841,Quercus minima,27,Other white oaks,Hardwood,1,0,12301,465760.6932,,,
77,Alabama,1,Baldwin,3,842,Quercus incana,43,Eastern noncommercial hardwoods,Hardwood,1,0,12301,3556699.333,,,
78,Alabama,1,Baldwin,3,858,Cinnamomum camphora,43,Eastern noncommercial hardwoods,Hardwood,1,0,12301,9325852.035,,,
79,Alabama,1,Baldwin,3,975,Ulmus rubra,41,Other eastern soft hardwoods,Hardwood,1,0,12301,3156184.484,3393555.656,3399239.701,
80,Alabama,1,Baldwin,3,993,Melia azedarach,43,Eastern noncommercial hardwoods,Hardwood,1,0,12301,1634187.663,,,
81,Alabama,1,Baldwin,3,994,Triadica sebifera,43,Eastern noncommercial hardwoods,Hardwood,1,0,12301,4193177.395,12012448.05,,35294987.38
82,Alabama,1,Barbour,5,68,Juniperus virginiana,9,Other eastern softwoods,Softwood,3,0,12301,2876167.048,3690767.967,4487346.954,13315899.16
83,Alabama,1,Barbour,5,110,Pinus echinata,2,Loblolly and shortleaf pines,Softwood,3,0,12301,1470437.966,1203287.504,16699366.03,
84,Alabama,1,Barbour,5,111,Pinus elliottii,1,Longleaf and slash pines,Softwood,3,0,12301,1167632.22,12750886.24,4748334.794,29204285.83
85,Alabama,1,Barbour,5,115,Pinus glabra,3,Other yellow pines,Softwood,3,0,12301,1124715.139,7028216.363,25525441.18,
86,Alabama,1,Barbour,5,121,Pinus palustris,1,Longleaf and slash pines,Softwood,3,0,12301,1452186.93,5124570.959,,31654202.16
87,Alabama,1,Barbour,5,131,Pinus taeda,2,Loblolly and shortleaf pines,Softwood,3,0,12301,14466352.72,45884782.77,55367441.43,186340764.3
88,Alabama,1,Barbour,5,311,Acer barbatum,31,Hard maple,Hardwood,3,0,12301,3935222.758,2443522.985,23996942.05,
89,Alabama,1,Barbour,5,316,Acer rubrum,32,Soft maple,Hardwood,3,0,12301,7338156.596,13752254.46,23891508.22,90638364.74
90,Alabama,1,Barbour,5,391,Carpinus caroliniana,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,12899253.63,7353037.46,90032649.32,
91,Alabama,1,Barbour,5,403,Carya glabra,29,Hickory,Hardwood,3,0,12301,,11544233.14,,
92,Alabama,1,Barbour,5,404,Carya illinoinensis,29,Hickory,Hardwood,3,0,12301,,5609949.212,,
93,Alabama,1,Barbour,5,409,Carya alba,29,Hickory,Hardwood,3,0,12301,9603915.633,,,
94,Alabama,1,Barbour,5,491,Cornus florida,42,Other eastern hard hardwoods,Hardwood,3,0,12301,,10166862.97,,
95,Alabama,1,Barbour,5,500,Crataegus spp.,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,1939438.178,1907535.768,,
96,Alabama,1,Barbour,5,521,Diospyros virginiana,42,Other eastern hard hardwoods,Hardwood,3,0,12301,481649.6125,,,
97,Alabama,1,Barbour,5,531,Fagus grandifolia,33,Beech,Hardwood,3,0,12301,,,,20710272.42
98,Alabama,1,Barbour,5,544,Fraxinus pennsylvanica,36,Ash,Hardwood,3,0,12301,,4216101.47,,
99,Alabama,1,Barbour,5,581,Halesia carolina,41,Other eastern soft hardwoods,Hardwood,3,0,12301,1259891.906,,,16615183.46
100,Alabama,1,Barbour,5,591,Ilex opaca,42,Other eastern hard hardwoods,Hardwood,3,0,12301,5973336.918,15815414.58,27351902.56,
101,Alabama,1,Barbour,5,611,Liquidambar styraciflua,34,Sweetgum,Hardwood,3,0,12301,79111513.2,112430761.2,190781161.1,105042030.6
102,Alabama,1,Barbour,5,621,Liriodendron tulipifera,39,Yellow-poplar,Hardwood,3,0,12301,15689959.72,28024512.77,30623837.38,18392568.04
103,Alabama,1,Barbour,5,652,Magnolia grandiflora,41,Other eastern soft hardwoods,Hardwood,3,0,12301,5348302.382,12536040.21,,
104,Alabama,1,Barbour,5,653,Magnolia virginiana,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,2516291.711,6387738.559,22481776.67,48648458.44
105,Alabama,1,Barbour,5,691,Nyssa aquatica,35,Tupelo and blackgum,Hardwood,3,0,12301,,8322140.878,,
106,Alabama,1,Barbour,5,693,Nyssa sylvatica,35,Tupelo and blackgum,Hardwood,3,0,12301,3211516.812,5810132.438,10879255.19,
107,Alabama,1,Barbour,5,694,Nyssa biflora,35,Tupelo and blackgum,Hardwood,3,0,12301,,6598581.145,7432101.164,18877761.99
108,Alabama,1,Barbour,5,701,Ostrya virginiana,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,799594.5114,13632671.77,14872833.44,
109,Alabama,1,Barbour,5,762,Prunus serotina,41,Other eastern soft hardwoods,Hardwood,3,0,12301,5615311.984,,,
110,Alabama,1,Barbour,5,802,Quercus alba,25,Select white oaks,Hardwood,3,0,12301,5098597.828,4167435.418,10027291.6,
111,Alabama,1,Barbour,5,812,Quercus falcata,28,Other red oaks,Hardwood,3,0,12301,998784.358,,9021386.91,
112,Alabama,1,Barbour,5,820,Quercus laurifolia,28,Other red oaks,Hardwood,3,0,12301,27264707.66,,65763548.11,
113,Alabama,1,Barbour,5,824,Quercus marilandica,28,Other red oaks,Hardwood,3,0,12301,1353118.001,11246001.98,,
114,Alabama,1,Barbour,5,827,Quercus nigra,28,Other red oaks,Hardwood,3,0,12301,67937293.21,55479957.07,93570802.15,66091078.19
115,Alabama,1,Barbour,5,831,Quercus phellos,28,Other red oaks,Hardwood,3,0,12301,1109019.642,,,
116,Alabama,1,Barbour,5,835,Quercus stellata,27,Other white oaks,Hardwood,3,0,12301,,,8424777.226,
117,Alabama,1,Barbour,5,951,Tilia americana,38,Basswood,Hardwood,3,0,12301,1326227.139,,,18336419.71
118,Alabama,1,Barbour,5,971,Ulmus alata,41,Other eastern soft hardwoods,Hardwood,3,0,12301,2281152.95,,,
119,Alabama,1,Barbour,5,972,Ulmus americana,41,Other eastern soft hardwoods,Hardwood,3,0,12301,517011.6154,,,37713989.6
120,Alabama,1,Barbour,5,993,Melia azedarach,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,,8744769.651,7865999.722,
121,Alabama,1,Bibb,7,68,Juniperus virginiana,9,Other eastern softwoods,Softwood,4,0,12301,2587810.347,8353888.52,,
122,Alabama,1,Bibb,7,121,Pinus palustris,1,Longleaf and slash pines,Softwood,4,0,12301,813865.708,3501034.885,23341716.09,12311609.49
123,Alabama,1,Bibb,7,131,Pinus taeda,2,Loblolly and shortleaf pines,Softwood,4,0,12301,20840419.02,63474513.34,172362884.9,240840086.2
124,Alabama,1,Bibb,7,316,Acer rubrum,32,Soft maple,Hardwood,4,0,12301,38227819.1,23662866.12,19070617.88,43238885.36
125,Alabama,1,Bibb,7,356,Amelanchier spp.,43,Eastern noncommercial hardwoods,Hardwood,4,0,12301,,11944276.52,,
126,Alabama,1,Bibb,7,391,Carpinus caroliniana,43,Eastern noncommercial hardwoods,Hardwood,4,0,12301,3457239.084,3099310.371,,
127,Alabama,1,Bibb,7,403,Carya glabra,29,Hickory,Hardwood,4,0,12301,5995253.428,4125863.974,,
128,Alabama,1,Bibb,7,409,Carya alba,29,Hickory,Hardwood,4,0,12301,16232350.35,20316759.1,27071892.22,
129,Alabama,1,Bibb,7,491,Cornus florida,42,Other eastern hard hardwoods,Hardwood,4,0,12301,19303452.25,22936160.04,,10647843.61
130,Alabama,1,Bibb,7,500,Crataegus spp.,43,Eastern noncommercial hardwoods,Hardwood,4,0,12301,1341003.562,,,
131,Alabama,1,Bibb,7,521,Diospyros virginiana,42,Other eastern hard hardwoods,Hardwood,4,0,12301,2876769.176,3499559.466,10547309.79,
132,Alabama,1,Bibb,7,531,Fagus grandifolia,33,Beech,Hardwood,4,0,12301,1940486.775,,15338826.14,36436522.59
133,Alabama,1,Bibb,7,544,Fraxinus pennsylvanica,36,Ash,Hardwood,4,0,12301,,,12456510.89,20980308.97
134,Alabama,1,Bibb,7,591,Ilex opaca,42,Other eastern hard hardwoods,Hardwood,4,0,12301,7633296.207,2315698.609,10758996.15,19219710.23
135,Alabama,1,Bibb,7,611,Liquidambar styraciflua,34,Sweetgum,Hardwood,4,0,12301,19308291.43,55685489.24,35991747.6,18073147.52
136,Alabama,1,Bibb,7,621,Liriodendron tulipifera,39,Yellow-poplar,Hardwood,4,0,12301,5116284.265,6443090.461,17495334.76,39150898.59
137,Alabama,1,Bibb,7,653,Magnolia virginiana,43,Eastern noncommercial hardwoods,Hardwood,4,0,12301,4207388.424,14196582.13,,
138,Alabama,1,Bibb,7,654,Magnolia macrophylla,43,Eastern noncommercial hardwoods,Hardwood,4,0,12301,963458.3643,3397227.576,11571229.28,
139,Alabama,1,Bibb,7,691,Nyssa aquatica,35,Tupelo and blackgum,Hardwood,4,0,12301,845195.9215,,,
140,Alabama,1,Bibb,7,693,Nyssa sylvatica,35,Tupelo and blackgum,Hardwood,4,0,12301,17334864.02,32943886.85,,
141,Alabama,1,Bibb,7,701,Ostrya virginiana,43,Eastern noncommercial hardwoods,Hardwood,4,0,12301,1716144.357,7060240.544,10692769.59,
142,Alabama,1,Bibb,7,711,Oxydendrum arboreum,43,Eastern noncommercial hardwoods,Hardwood,4,0,12301,6945852.435,16671949.6,19956586.02,21455946.9
143,Alabama,1,Bibb,7,762,Prunus serotina,41,Other eastern soft hardwoods,Hardwood,4,0,12301,1522433.924,,13111604.21,20607194.03
144,Alabama,1,Bibb,7,766,Prunus americana,43,Eastern noncommercial hardwoods,Hardwood,4,0,12301,5933642.8,2633370.277,,
145,Alabama,1,Bibb,7,802,Quercus alba,25,Select white oaks,Hardwood,4,0,12301,10880225.63,18067531.95,,
146,Alabama,1,Bibb,7,812,Quercus falcata,28,Other red oaks,Hardwood,4,0,12301,12753128.19,5665786.921,9320970.695,
147,Alabama,1,Bibb,7,820,Quercus laurifolia,28,Other red oaks,Hardwood,4,0,12301,871520.3084,,,38684009.86
148,Alabama,1,Bibb,7,822,Quercus lyrata,27,Other white oaks,Hardwood,4,0,12301,,,,25969213.34
149,Alabama,1,Bibb,7,824,Quercus marilandica,28,Other red oaks,Hardwood,4,0,12301,4373856.498,,13039453.89,
150,Alabama,1,Bibb,7,827,Quercus nigra,28,Other red oaks,Hardwood,4,0,12301,49333198.85,49133674.71,82493644.37,60512765.93
151,Alabama,1,Bibb,7,833,Quercus rubra,26,Select red oaks,Hardwood,4,0,12301,,9368170.072,,
152,Alabama,1,Bibb,7,971,Ulmus alata,41,Other eastern soft hardwoods,Hardwood,4,0,12301,2881699.415,3016259.32,11559898.4,
153,Alabama,1,Blount,9,68,Juniperus virginiana,9,Other eastern softwoods,Softwood,5,0,12301,5792388.059,2246833.615,20759933.97,
154,Alabama,1,Blount,9,110,Pinus echinata,2,Loblolly and shortleaf pines,Softwood,5,0,12301,208552.8157,,,
155,Alabama,1,Blount,9,131,Pinus taeda,2,Loblolly and shortleaf pines,Softwood,5,0,12301,11444199.9,56139528.74,97097012.23,137940972.9
156,Alabama,1,Blount,9,132,Pinus virginiana,3,Other yellow pines,Softwood,5,0,12301,5480186.564,,8375605.249,34071830.63
157,Alabama,1,Blount,9,311,Acer barbatum,31,Hard maple,Hardwood,5,0,12301,5098244.135,5820092.487,,
158,Alabama,1,Blount,9,316,Acer rubrum,32,Soft maple,Hardwood,5,0,12301,19825442.12,46036627.84,42301867.46,59887122.81
159,Alabama,1,Blount,9,356,Amelanchier spp.,43,Eastern noncommercial hardwoods,Hardwood,5,0,12301,474827.0219,,,
160,Alabama,1,Blount,9,391,Carpinus caroliniana,43,Eastern noncommercial hardwoods,Hardwood,5,0,12301,1867939.287,4795456.713,8469586.997,24409856.76
161,Alabama,1,Blount,9,403,Carya glabra,29,Hickory,Hardwood,5,0,12301,12330799.93,22076192.48,,44262217.37
162,Alabama,1,Blount,9,409,Carya alba,29,Hickory,Hardwood,5,0,12301,9964827.741,5953064.571,19227841.26,34369229.08
163,Alabama,1,Blount,9,471,Cercis canadensis,43,Eastern noncommercial hardwoods,Hardwood,5,0,12301,1358391.668,7660461.768,,
164,Alabama,1,Blount,9,491,Cornus florida,42,Other eastern hard hardwoods,Hardwood,5,0,12301,9085938.349,11329832.3,,
165,Alabama,1,Blount,9,531,Fagus grandifolia,33,Beech,Hardwood,5,0,12301,1086979.357,,,
166,Alabama,1,Blount,9,544,Fraxinus pennsylvanica,36,Ash,Hardwood,5,0,12301,1338038.955,,,
167,Alabama,1,Blount,9,611,Liquidambar styraciflua,34,Sweetgum,Hardwood,5,0,12301,13859762.15,20169114.51,57088929.26,40786304.84
168,Alabama,1,Blount,9,621,Liriodendron tulipifera,39,Yellow-poplar,Hardwood,5,0,12301,10488330.51,22524524.58,30125280.22,29993547.26
169,Alabama,1,Blount,9,693,Nyssa sylvatica,35,Tupelo and blackgum,Hardwood,5,0,12301,8332415.259,7045556.332,17816287.85,
170,Alabama,1,Blount,9,701,Ostrya virginiana,43,Eastern noncommercial hardwoods,Hardwood,5,0,12301,5400464.002,13924055.78,,
171,Alabama,1,Blount,9,711,Oxydendrum arboreum,43,Eastern noncommercial hardwoods,Hardwood,5,0,12301,,4316749.479,7550625.599,
172,Alabama,1,Blount,9,762,Prunus serotina,41,Other eastern soft hardwoods,Hardwood,5,0,12301,13472604.81,13415196.85,18520569.33,
173,Alabama,1,Blount,9,802,Quercus alba,25,Select white oaks,Hardwood,5,0,12301,6210386.588,3164470.321,10867861.02,43749346.44
174,Alabama,1,Blount,9,806,Quercus coccinea,28,Other red oaks,Hardwood,5,0,12301,2775253.605,,,
175,Alabama,1,Blount,9,812,Quercus falcata,28,Other red oaks,Hardwood,5,0,12301,1268050.126,6565832.99,,
176,Alabama,1,Blount,9,827,Quercus nigra,28,Other red oaks,Hardwood,5,0,12301,7500319.94,,,
177,Alabama,1,Blount,9,832,Quercus prinus,27,Other white oaks,Hardwood,5,0,12301,,,23236477.78,
178,Alabama,1,Blount,9,833,Quercus rubra,26,Select red oaks,Hardwood,5,0,12301,2715598.423,,,
179,Alabama,1,Blount,9,835,Quercus stellata,27,Other white oaks,Hardwood,5,0,12301,1645321.532,,,15255935.88
180,Alabama,1,Blount,9,837,Quercus velutina,28,Other red oaks,Hardwood,5,0,12301,,3658073.273,,
181,Alabama,1,Blount,9,931,Sassafras albidum,41,Other eastern soft hardwoods,Hardwood,5,0,12301,3420158.305,3430497.771,,
182,Alabama,1,Blount,9,951,Tilia americana,38,Basswood,Hardwood,5,0,12301,2215846.585,,,
183,Alabama,1,Blount,9,971,Ulmus alata,41,Other eastern soft hardwoods,Hardwood,5,0,12301,18892152.09,20935309.19,22673287.01,
184,Alabama,1,Blount,9,8421,Pyrus calleryana,55,Urban-specific hardwoods,Hardwood,5,0,12301,587965.8474,,,
185,Alabama,1,Bullock,11,68,Juniperus virginiana,9,Other eastern softwoods,Softwood,3,0,12301,1191880.635,6187256.988,,
186,Alabama,1,District of Columbia,11,68,Juniperus virginiana,9,Other eastern softwoods,Softwood,3,0,12301,1191880.635,6187256.988,,
187,Alabama,1,Bullock,11,110,Pinus echinata,2,Loblolly and shortleaf pines,Softwood,3,0,12301,1541315.844,25108465.96,7166166.056,33225089.29
188,Alabama,1,District of Columbia,11,110,Pinus echinata,2,Loblolly and shortleaf pines,Softwood,3,0,12301,1541315.844,25108465.96,7166166.056,33225089.29
189,Alabama,1,Bullock,11,121,Pinus palustris,1,Longleaf and slash pines,Softwood,3,0,12301,,7856121.794,15227817.5,13013046.99
190,Alabama,1,District of Columbia,11,121,Pinus palustris,1,Longleaf and slash pines,Softwood,3,0,12301,,7856121.794,15227817.5,13013046.99
191,Alabama,1,Bullock,11,131,Pinus taeda,2,Loblolly and shortleaf pines,Softwood,3,0,12301,26196318.52,58756867.54,156777551.2,205006783.3
192,Alabama,1,District of Columbia,11,131,Pinus taeda,2,Loblolly and shortleaf pines,Softwood,3,0,12301,26196318.52,58756867.54,156777551.2,205006783.3
193,Alabama,1,Bullock,11,313,Acer negundo,41,Other eastern soft hardwoods,Hardwood,3,0,12301,,1761608.855,,
194,Alabama,1,District of Columbia,11,313,Acer negundo,41,Other eastern soft hardwoods,Hardwood,3,0,12301,,1761608.855,,
195,Alabama,1,Bullock,11,316,Acer rubrum,32,Soft maple,Hardwood,3,0,12301,9774688.966,34977259.5,40758068.24,
196,Alabama,1,District of Columbia,11,316,Acer rubrum,32,Soft maple,Hardwood,3,0,12301,9774688.966,34977259.5,40758068.24,
197,Alabama,1,Bullock,11,373,Betula nigra,41,Other eastern soft hardwoods,Hardwood,3,0,12301,3788410.161,,,
198,Alabama,1,District of Columbia,11,373,Betula nigra,41,Other eastern soft hardwoods,Hardwood,3,0,12301,3788410.161,,,
199,Alabama,1,Bullock,11,391,Carpinus caroliniana,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,7106124.881,16940165.73,10499379.21,52261295.39
200,Alabama,1,District of Columbia,11,391,Carpinus caroliniana,43,Eastern noncommercial hardwoods,Hardwood,3,0,12301,7106124.881,16940165.73,10499379.21,52261295.39
